model,threshold,line_value,bubble_value
Qwen2.5-Math-7B,0.0,-0.78125,1.108108108108108
Qwen2.5-Math-7B,0.1,4.651162790697672,1.3576642335766422
Qwen2.5-Math-7B,0.2,5.263157894736836,1.3875968992248062
Qwen2.5-Math-7B,0.3,6.060606060606066,1.4545454545454546
Qwen2.5-Math-7B,0.4,7.4074074074074066,1.4836065573770492
Qwen2.5-Math-7B,0.5,8.333333333333337,1.6203703703703702
Qwen2.5-Math-7B,0.6,8.695652173913048,1.6330275229357798
Qwen2.5-Math-7B,0.7,9.090909090909093,1.6697247706422018
Qwen2.5-Math-7B,0.8,10.526315789473683,1.7567567567567566
Qwen2.5-Math-7B,0.9,11.111111111111116,1.783018867924528
Gemma2:9B,0.0,0.78125,0.9884726224783862
Gemma2:9B,0.1,-2.325581395348836,0.9673590504451037
Gemma2:9B,0.2,-2.631578947368424,0.9287833827893175
Gemma2:9B,0.3,0.0,0.9464285714285715
Gemma2:9B,0.4,0.0,0.9354838709677419
Gemma2:9B,0.5,0.0,0.9293785310734464
Gemma2:9B,0.6,0.0,0.9287671232876713
Gemma2:9B,0.7,0.0,0.938337801608579
Gemma2:9B,0.8,0.0,0.9839572192513368
Gemma2:9B,0.9,0.0,0.9836512261580381
Gemma2:2B,0.0,3.90625,1.0152173913043478
Gemma2:2B,0.1,9.302325581395346,1.0369515011547343
Gemma2:2B,0.2,10.526315789473683,1.0375586854460095
Gemma2:2B,0.3,12.12121212121212,1.035128805620609
Gemma2:2B,0.4,14.814814814814813,1.0626506024096385
Gemma2:2B,0.5,12.5,1.038369304556355
Gemma2:2B,0.6,8.695652173913043,1.018957345971564
Gemma2:2B,0.7,13.636363636363638,1.0334928229665072
Gemma2:2B,0.8,10.526315789473683,0.9882629107981221
Gemma2:2B,0.9,11.11111111111111,0.9881516587677726
