,0.0_qwen2.5-math-7b,0.0_gemma2-9b,0.0_gemma2-2b,0.1_qwen2.5-math-7b,0.1_gemma2-9b,0.1_gemma2-2b,0.2_qwen2.5-math-7b,0.2_gemma2-9b,0.2_gemma2-2b,0.3_qwen2.5-math-7b,0.3_gemma2-9b,0.3_gemma2-2b,0.4_qwen2.5-math-7b,0.4_gemma2-9b,0.4_gemma2-2b,0.5_qwen2.5-math-7b,0.5_gemma2-9b,0.5_gemma2-2b,0.6_qwen2.5-math-7b,0.6_gemma2-9b,0.6_gemma2-2b,0.7_qwen2.5-math-7b,0.7_gemma2-9b,0.7_gemma2-2b,0.8_qwen2.5-math-7b,0.8_gemma2-9b,0.8_gemma2-2b,0.9_qwen2.5-math-7b,0.9_gemma2-9b,0.9_gemma2-2b
All,-0.1100000000000001,0.020000000000000018,-0.05999999999999961,-0.19000000000000017,0.04999999999999982,-0.13999999999999968,-0.15999999999999992,0.04999999999999982,-0.16000000000000014,-0.17999999999999994,0.04999999999999982,-0.14000000000000057,-0.1399999999999999,0.029999999999999805,-0.1800000000000006,-0.1299999999999999,-0.010000000000000231,-0.17999999999999972,-0.1399999999999999,-0.04999999999999982,-0.16999999999999993,-0.17999999999999994,-0.03000000000000025,-0.17000000000000037,-0.24,0.03000000000000025,-0.09999999999999964,-0.20999999999999996,0.040000000000000036,-0.1299999999999999
Prealgebra,-0.17000000000000015,-0.16000000000000014,0.16999999999999948,-0.20999999999999996,-0.25,-0.040000000000000036,-0.16999999999999993,-0.30000000000000027,-0.18000000000000016,-0.17999999999999994,-0.3600000000000003,-0.18999999999999995,-0.18999999999999995,-0.3799999999999999,-0.13999999999999968,-0.1100000000000001,-0.4200000000000004,-0.11000000000000032,-0.1100000000000001,-0.4200000000000004,-0.11000000000000032,-0.10999999999999988,-0.4500000000000002,-0.11000000000000032,-0.1299999999999999,-0.06000000000000005,-0.1200000000000001,-0.1499999999999999,-0.08000000000000007,-0.2999999999999998
Algebra,-0.06999999999999984,0.14000000000000012,-0.33999999999999986,-0.04999999999999982,0.20999999999999996,-0.43999999999999995,-0.06999999999999984,0.029999999999999805,-0.52,-0.07999999999999985,-0.06999999999999984,-0.3500000000000001,0.0,-0.0900000000000003,-0.48999999999999977,0.0,-0.10999999999999988,-0.6399999999999997,0.0,-0.11000000000000032,-0.5899999999999999,0.0,0.040000000000000036,-0.5,-0.050000000000000044,0.0,-0.3099999999999996,-0.07000000000000006,0.0,-0.4700000000000002
Intermediate Algebra,-0.16999999999999993,0.010000000000000675,0.0600000000000005,-0.11999999999999988,-0.040000000000000036,0.040000000000000036,-0.14000000000000012,0.0,0.09999999999999964,-0.27,0.18999999999999995,0.13999999999999968,-0.2999999999999998,0.10000000000000009,0.0,-0.2999999999999998,0.10000000000000009,0.0,-0.31999999999999984,0.0,0.0,-0.3500000000000001,0.0,0.0,-0.3999999999999999,0.0,0.0,-0.3999999999999999,0.0,0.0
Precalculus,0.020000000000000018,0.08000000000000007,-0.0699999999999994,-0.13000000000000034,0.10000000000000009,-0.21999999999999975,-0.040000000000000036,0.1200000000000001,-0.2699999999999996,0.0,0.1299999999999999,-0.29000000000000004,0.14000000000000012,0.13999999999999968,-0.3299999999999992,0.14000000000000012,0.13999999999999968,-0.3299999999999992,0.1499999999999999,0.15000000000000036,-0.34999999999999964,0.06000000000000005,0.16999999999999993,-0.39000000000000057,-0.20999999999999996,0.29000000000000004,-0.5,-0.0900000000000003,0.3599999999999999,-0.6399999999999997
Counting/Probability,-0.020000000000000018,0.1499999999999999,0.0,-0.30999999999999983,0.0,-0.20999999999999996,-0.3700000000000001,0.18999999999999995,0.0,-0.42999999999999994,0.20999999999999996,0.15000000000000036,-0.28,0.36999999999999966,0.17999999999999972,-0.19999999999999996,0.0,0.20000000000000018,-0.21999999999999997,0.0,0.2200000000000002,-0.21999999999999997,0.0,0.2200000000000002,-0.21999999999999997,0.0,0.2200000000000002,-0.21999999999999997,0.0,0.2200000000000002
Geometry,0.07999999999999963,0.29000000000000004,-0.019999999999999574,-0.19999999999999996,0.54,0.0600000000000005,-0.20999999999999996,0.43000000000000016,-0.08000000000000007,-0.25,0.5,-0.08000000000000007,-0.2999999999999998,0.3999999999999999,-0.10000000000000053,-0.5,0.5,-0.16999999999999993,-0.8,0.0,-0.20000000000000018,-1.0,0.0,-0.5,-1.0,0.0,-0.5,-1.0,0.0,-0.6600000000000001
Number Theory,-0.28,-0.2400000000000002,-0.03000000000000025,-0.4500000000000002,-0.16999999999999993,0.20999999999999996,-0.30999999999999983,0.09999999999999964,0.2599999999999998,-0.32999999999999985,0.11000000000000032,0.06000000000000005,-0.32999999999999985,0.11000000000000032,0.06000000000000005,-0.34999999999999987,0.10999999999999988,0.2400000000000002,-0.3799999999999999,0.1299999999999999,0.24999999999999956,-0.40000000000000013,0.06000000000000005,0.20000000000000018,-0.25,-0.08000000000000007,0.5,-0.1100000000000001,0.0,0.8900000000000001
