model,threshold,line_value,bubble_value
Qwen2.5-Math-7B,0.0,1.1111111111111072,1.0133333333333334
Qwen2.5-Math-7B,0.1,2.564102564102566,1.0
Qwen2.5-Math-7B,0.2,3.125,1.0
Qwen2.5-Math-7B,0.3,3.57142857142857,1.0
Qwen2.5-Math-7B,0.4,3.9999999999999925,1.0
Qwen2.5-Math-7B,0.5,4.545454545454552,1.0
Qwen2.5-Math-7B,0.6,4.761904761904756,1.0
Qwen2.5-Math-7B,0.7,5.263157894736848,1.0
Qwen2.5-Math-7B,0.8,5.5555555555555465,1.0
Qwen2.5-Math-7B,0.9,6.25,1.0
Gemma2:9B,0.0,0.0,1.0363636363636362
Gemma2:9B,0.1,2.564102564102555,1.0721153846153846
Gemma2:9B,0.2,0.0,1.0334928229665072
Gemma2:9B,0.3,3.57142857142857,1.0604395604395604
Gemma2:9B,0.4,3.9999999999999925,1.108695652173913
Gemma2:9B,0.5,4.545454545454552,1.117948717948718
Gemma2:9B,0.6,4.761904761904756,1.1325966850828728
Gemma2:9B,0.7,0.0,1.0357142857142858
Gemma2:9B,0.8,0.0,1.0
Gemma2:9B,0.9,0.0,1.0
Gemma2:2B,0.0,3.3333333333333326,1.0412087912087913
Gemma2:2B,0.1,5.128205128205127,1.1071428571428572
Gemma2:2B,0.2,6.25,1.0721649484536082
Gemma2:2B,0.3,3.57142857142857,1.0659630606860158
Gemma2:2B,0.4,12.0,1.0947368421052632
Gemma2:2B,0.5,13.63636363636364,1.1073298429319374
Gemma2:2B,0.6,14.285714285714285,1.1143617021276597
Gemma2:2B,0.7,10.526315789473683,1.0703125000000002
Gemma2:2B,0.8,11.11111111111111,1.074074074074074
Gemma2:2B,0.9,12.5,1.079896907216495
