model,threshold,line_value,bubble_value
Qwen2.5-Math-7B,0.0,-2.857142857142858,1.0
Qwen2.5-Math-7B,0.1,-1.9230769230769162,1.0
Qwen2.5-Math-7B,0.2,2.500000000000002,1.0
Qwen2.5-Math-7B,0.3,2.7027027027026973,1.0
Qwen2.5-Math-7B,0.4,0.0,1.0
Qwen2.5-Math-7B,0.5,0.0,1.0
Qwen2.5-Math-7B,0.6,0.0,1.0
Qwen2.5-Math-7B,0.7,0.0,1.0
Qwen2.5-Math-7B,0.8,0.0,1.0
Qwen2.5-Math-7B,0.9,0.0,1.0
Gemma2:9B,0.0,0.0,1.0
Gemma2:9B,0.1,-3.8461538461538494,1.0
Gemma2:9B,0.2,-2.4999999999999964,1.0
Gemma2:9B,0.3,0.0,1.0
Gemma2:9B,0.4,0.0,1.0
Gemma2:9B,0.5,0.0,1.0
Gemma2:9B,0.6,0.0,1.0
Gemma2:9B,0.7,-3.9999999999999982,1.0
Gemma2:9B,0.8,0.0,1.0
Gemma2:9B,0.9,-5.263157894736842,1.0
Gemma2:2B,0.0,-3.8095238095238084,1.0
Gemma2:2B,0.1,-7.6923076923076925,1.0
Gemma2:2B,0.2,-10.0,1.0
Gemma2:2B,0.3,-10.81081081081081,1.0
Gemma2:2B,0.4,-15.151515151515152,1.0
Gemma2:2B,0.5,-12.903225806451612,1.0
Gemma2:2B,0.6,-13.333333333333336,1.0
Gemma2:2B,0.7,-15.999999999999998,1.0
Gemma2:2B,0.8,-18.18181818181818,1.0
Gemma2:2B,0.9,-15.789473684210526,1.0
