model,threshold,line_value,bubble_value
Qwen2.5-Math-7B,0.0,0.0,1.0396825396825398
Qwen2.5-Math-7B,0.1,-2.083333333333337,1.095959595959596
Qwen2.5-Math-7B,0.2,-4.444444444444439,1.072538860103627
Qwen2.5-Math-7B,0.3,-5.128205128205132,1.0847457627118644
Qwen2.5-Math-7B,0.4,-5.714285714285705,1.0437158469945353
Qwen2.5-Math-7B,0.5,-6.666666666666665,1.0
Qwen2.5-Math-7B,0.6,-7.142857142857151,1.021978021978022
Qwen2.5-Math-7B,0.7,-7.692307692307699,1.0727272727272728
Qwen2.5-Math-7B,0.8,-5.263157894736836,1.147887323943662
Qwen2.5-Math-7B,0.9,-7.142857142857151,1.0
Gemma2:9B,0.0,2.985074626865669,1.0192771084337349
Gemma2:9B,0.1,0.0,0.9691211401425178
Gemma2:9B,0.2,0.0,0.9663461538461537
Gemma2:9B,0.3,0.0,0.9602977667493796
Gemma2:9B,0.4,-2.857142857142858,0.9516908212560387
Gemma2:9B,0.5,0.0,0.9765807962529275
Gemma2:9B,0.6,3.57142857142857,1.0
Gemma2:9B,0.7,3.8461538461538494,1.0
Gemma2:9B,0.8,5.263157894736842,0.9647887323943664
Gemma2:9B,0.9,7.142857142857142,0.9540481400437637
Gemma2:2B,0.0,-1.492537313432836,0.9918533604887984
Gemma2:2B,0.1,-2.083333333333333,0.9917184265010351
Gemma2:2B,0.2,-2.2222222222222228,0.991701244813278
Gemma2:2B,0.3,0.0,1.0125260960334028
Gemma2:2B,0.4,0.0,1.0125786163522013
Gemma2:2B,0.5,0.0,1.0205338809034907
Gemma2:2B,0.6,0.0,1.0205761316872428
Gemma2:2B,0.7,0.0,1.0226804123711342
Gemma2:2B,0.8,0.0,1.0
Gemma2:2B,0.9,0.0,1.0
