model,threshold,line_value,bubble_value
Qwen2.5-Math-7B,0.0,3.731343283582089,1.0
Qwen2.5-Math-7B,0.1,10.416666666666663,1.0
Qwen2.5-Math-7B,0.2,11.111111111111105,1.0
Qwen2.5-Math-7B,0.3,12.82051282051282,1.0
Qwen2.5-Math-7B,0.4,14.28571428571429,1.0
Qwen2.5-Math-7B,0.5,13.333333333333341,1.0
Qwen2.5-Math-7B,0.6,14.28571428571429,1.0
Qwen2.5-Math-7B,0.7,15.384615384615385,1.0
Qwen2.5-Math-7B,0.8,10.526315789473683,1.0
Qwen2.5-Math-7B,0.9,7.14285714285714,1.0
Gemma2:9B,0.0,-2.985074626865672,1.0
Gemma2:9B,0.1,-6.25,1.0
Gemma2:9B,0.2,-6.666666666666665,1.0
Gemma2:9B,0.3,-7.69230769230769,1.0
Gemma2:9B,0.4,-5.7142857142857135,1.0
Gemma2:9B,0.5,-6.666666666666668,1.0
Gemma2:9B,0.6,-7.142857142857142,1.0
Gemma2:9B,0.7,-7.6923076923076925,1.0
Gemma2:9B,0.8,0.0,1.0
Gemma2:9B,0.9,0.0,1.0
Gemma2:2B,0.0,0.7462686567164178,1.0
Gemma2:2B,0.1,2.083333333333333,1.0
Gemma2:2B,0.2,2.2222222222222223,1.0
Gemma2:2B,0.3,2.564102564102564,1.0
Gemma2:2B,0.4,2.857142857142857,1.0
Gemma2:2B,0.5,3.3333333333333335,1.0
Gemma2:2B,0.6,3.571428571428571,1.0
Gemma2:2B,0.7,3.8461538461538463,1.0
Gemma2:2B,0.8,5.263157894736842,1.0
Gemma2:2B,0.9,0.0,1.0
