,0.0_qwen2.5-math-7b,0.0_gemma2-9b,0.0_gemma2-2b,0.1_qwen2.5-math-7b,0.1_gemma2-9b,0.1_gemma2-2b,0.2_qwen2.5-math-7b,0.2_gemma2-9b,0.2_gemma2-2b,0.3_qwen2.5-math-7b,0.3_gemma2-9b,0.3_gemma2-2b,0.4_qwen2.5-math-7b,0.4_gemma2-9b,0.4_gemma2-2b,0.5_qwen2.5-math-7b,0.5_gemma2-9b,0.5_gemma2-2b,0.6_qwen2.5-math-7b,0.6_gemma2-9b,0.6_gemma2-2b,0.7_qwen2.5-math-7b,0.7_gemma2-9b,0.7_gemma2-2b,0.8_qwen2.5-math-7b,0.8_gemma2-9b,0.8_gemma2-2b,0.9_qwen2.5-math-7b,0.9_gemma2-9b,0.9_gemma2-2b
All,0.20000000000000018,-0.40000000000000036,-2.400000000000001,2.985074626865669,-3.4825870646766175,-3.4825870646766175,5.847953216374268,-4.093567251461988,-3.508771929824561,6.622516556291391,-1.9867549668874163,-4.635761589403972,5.97014925373135,-0.7462686567164201,-5.970149253731344,5.785123966942152,0.8264462809917328,-4.958677685950414,6.08695652173914,0.0,-6.086956521739132,6.666666666666677,0.0,-7.6190476190476195,4.49438202247191,4.49438202247191,-7.865168539325842,2.6666666666666616,2.666666666666667,-5.333333333333334
Prealgebra,-2.4390243902439046,-2.4390243902439046,-1.2195121951219523,-7.142857142857151,-7.14285714285714,-10.714285714285714,-4.347826086956519,-8.695652173913048,-13.043478260869565,-4.545454545454541,-4.545454545454552,-13.636363636363635,-4.761904761904767,-4.761904761904756,-14.285714285714285,-5.263157894736848,0.0,-15.789473684210526,-5.263157894736848,0.0,-15.789473684210526,-5.555555555555558,0.0,-16.666666666666664,-6.25,6.25,-18.75,-7.692307692307699,7.692307692307687,-7.6923076923076925
Algebra,2.4193548387096753,-4.838709677419361,-3.225806451612903,3.8461538461538547,-5.769230769230771,-1.9230769230769273,4.545454545454541,-9.090909090909093,-2.272727272727276,5.128205128205132,-5.128205128205132,-5.128205128205127,6.060606060606066,-3.0303030303030276,-9.090909090909088,7.142857142857151,-3.57142857142857,-7.142857142857145,7.4074074074074066,-7.4074074074074066,-7.4074074074074066,8.333333333333337,-8.333333333333325,-8.333333333333337,10.526315789473683,-5.263157894736848,-5.263157894736842,13.33333333333333,-6.666666666666665,-6.6666666666666705
Intermediate Algebra,2.0618556701030966,3.0927835051546393,-3.092783505154639,3.125,3.125,-9.375,6.896551724137934,0.0,-6.896551724137931,4.545454545454552,0.0,-9.09090909090909,4.999999999999993,0.0,-10.0,4.999999999999993,0.0,-10.0,5.263157894736848,0.0,-10.526315789473683,5.882352941176472,0.0,-11.764705882352942,6.666666666666665,0.0,-13.333333333333334,6.666666666666665,0.0,-13.333333333333334
Precalculus,-1.7857142857142905,7.142857142857142,-1.7857142857142863,6.451612903225811,3.225806451612903,3.225806451612903,7.692307692307699,11.538461538461538,3.8461538461538463,8.333333333333325,12.5,4.166666666666667,0.0,14.285714285714285,4.761904761904762,0.0,14.285714285714285,4.761904761904762,0.0,15.0,4.999999999999999,0.0,16.666666666666664,5.555555555555555,-7.142857142857151,21.42857142857143,7.142857142857142,-9.090909090909093,18.181818181818183,18.18181818181818
Counting/Probability,-2.631578947368418,-2.631578947368418,0.0,5.263157894736836,-5.263157894736842,0.0,6.25,-6.25,0.0,14.28571428571429,-7.14285714285714,0.0,18.181818181818176,-9.090909090909088,0.0,9.999999999999998,-9.999999999999998,0.0,11.111111111111105,-11.11111111111111,-11.11111111111111,11.111111111111105,-11.11111111111111,-11.11111111111111,11.111111111111105,-11.11111111111111,-11.11111111111111,11.111111111111105,-11.11111111111111,-11.11111111111111
Geometry,0.0,-2.439024390243902,2.4390243902439024,6.666666666666665,-6.666666666666668,6.666666666666667,7.14285714285714,-7.142857142857142,0.0,8.333333333333337,0.0,0.0,9.999999999999998,10.0,0.0,16.666666666666675,16.666666666666664,0.0,20.000000000000007,20.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,33.333333333333336,0.0,0.0
Number Theory,0.0,1.6129032258064502,-6.451612903225806,4.1666666666666625,-8.333333333333332,-8.333333333333332,15.78947368421052,-10.526315789473683,-5.263157894736842,16.666666666666664,-11.11111111111111,-5.555555555555555,16.666666666666664,-11.11111111111111,-5.555555555555555,17.647058823529417,-5.882352941176472,0.0,18.75,-6.25,0.0,20.000000000000007,0.0,-6.666666666666667,8.333333333333325,16.666666666666668,-8.333333333333332,-11.111111111111116,11.111111111111116,-11.11111111111111
