,0.0_qwen2.5-math-7b,0.0_gemma2-9b,0.0_gemma2-2b,0.1_qwen2.5-math-7b,0.1_gemma2-9b,0.1_gemma2-2b,0.2_qwen2.5-math-7b,0.2_gemma2-9b,0.2_gemma2-2b,0.3_qwen2.5-math-7b,0.3_gemma2-9b,0.3_gemma2-2b,0.4_qwen2.5-math-7b,0.4_gemma2-9b,0.4_gemma2-2b,0.5_qwen2.5-math-7b,0.5_gemma2-9b,0.5_gemma2-2b,0.6_qwen2.5-math-7b,0.6_gemma2-9b,0.6_gemma2-2b,0.7_qwen2.5-math-7b,0.7_gemma2-9b,0.7_gemma2-2b,0.8_qwen2.5-math-7b,0.8_gemma2-9b,0.8_gemma2-2b,0.9_qwen2.5-math-7b,0.9_gemma2-9b,0.9_gemma2-2b
All,0.19999999999998908,0.20000000000000018,1.5999999999999988,0.9950248756218971,0.0,2.985074626865675,0.5847953216374324,0.0,5.263157894736842,0.6622516556291425,0.6622516556291425,4.635761589403975,0.7462686567164201,0.746268656716409,6.716417910447758,0.8264462809917439,2.4793388429752095,6.6115702479338845,0.8695652173912993,3.4782608695652195,6.086956521739129,0.952380952380949,2.857142857142858,7.6190476190476195,2.2471910112359605,2.2471910112359494,5.6179775280898845,2.6666666666666727,2.6666666666666727,6.6666666666666705
Prealgebra,1.2195121951219523,1.2195121951219523,-1.2195121951219468,0.0,10.71428571428571,0.0,0.0,13.043478260869568,4.347826086956524,0.0,13.636363636363647,4.545454545454547,0.0,14.28571428571429,4.761904761904762,0.0,15.789473684210531,5.263157894736842,0.0,15.789473684210531,5.263157894736842,0.0,16.666666666666675,5.555555555555553,0.0,12.5,6.25,0.0,15.384615384615385,7.6923076923076925
Algebra,1.6129032258064502,-2.4193548387096753,10.483870967741938,0.0,-3.8461538461538547,15.384615384615385,0.0,0.0,18.181818181818183,0.0,5.128205128205132,15.38461538461538,0.0,3.0303030303030276,18.181818181818187,0.0,3.57142857142857,21.428571428571423,0.0,3.703703703703698,18.518518518518523,0.0,0.0,16.666666666666668,0.0,0.0,5.263157894736848,0.0,0.0,6.666666666666665
Intermediate Algebra,1.0309278350515538,4.123711340206182,-2.0618556701030926,3.125,6.25,3.125,3.4482758620689724,3.448275862068967,3.4482758620689653,4.545454545454541,0.0,4.545454545454547,4.999999999999993,4.999999999999999,10.0,4.999999999999993,4.999999999999999,10.0,5.263157894736836,5.263157894736842,10.526315789473683,5.882352941176472,5.882352941176472,11.76470588235294,6.666666666666665,6.666666666666665,13.333333333333336,6.666666666666665,6.666666666666665,13.333333333333336
Precalculus,-3.57142857142857,-3.57142857142857,1.785714285714285,0.0,-3.2258064516129004,6.451612903225806,-3.8461538461538436,-3.8461538461538494,7.6923076923076925,-4.166666666666674,-4.1666666666666625,8.333333333333334,-4.761904761904756,-4.761904761904762,9.523809523809524,-4.761904761904756,-4.761904761904762,9.523809523809524,-4.999999999999993,-5.000000000000004,10.0,-5.5555555555555465,-5.555555555555553,11.11111111111111,0.0,-7.142857142857145,14.285714285714285,0.0,-9.090909090909088,18.18181818181818
Counting/Probability,-2.631578947368418,-2.631578947368424,-2.631578947368421,5.263157894736836,5.263157894736836,5.263157894736842,6.25,0.0,6.25,7.14285714285714,0.0,0.0,9.090909090909093,0.0,0.0,9.999999999999998,9.999999999999998,0.0,11.111111111111116,11.111111111111105,0.0,11.111111111111116,11.111111111111105,0.0,11.111111111111116,11.111111111111105,0.0,11.111111111111116,11.111111111111105,0.0
Geometry,-2.4390243902439046,-4.878048780487804,-4.8780487804878065,0.0,-20.0,-20.0,0.0,-14.285714285714285,-14.285714285714285,0.0,-16.666666666666668,-16.666666666666668,0.0,-20.0,-10.0,0.0,-16.666666666666668,-16.666666666666664,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number Theory,1.6129032258064613,6.451612903225811,0.0,0.0,0.0,-12.499999999999995,0.0,-5.263157894736836,-10.526315789473683,0.0,-5.5555555555555465,-5.555555555555558,0.0,-5.5555555555555465,-5.555555555555558,0.0,-5.882352941176472,-11.764705882352944,0.0,-6.25,-12.5,0.0,-6.666666666666665,-6.666666666666665,0.0,-8.333333333333325,-8.333333333333337,0.0,-11.111111111111116,-11.111111111111105
