model,threshold,line_value,bubble_value
Qwen2.5-Math-7B,0.0,0.78125,1.0
Qwen2.5-Math-7B,0.1,9.302325581395344,1.0
Qwen2.5-Math-7B,0.2,13.157894736842103,1.0
Qwen2.5-Math-7B,0.3,15.151515151515149,1.0
Qwen2.5-Math-7B,0.4,14.814814814814813,1.0
Qwen2.5-Math-7B,0.5,16.666666666666664,1.0
Qwen2.5-Math-7B,0.6,17.391304347826086,1.0
Qwen2.5-Math-7B,0.7,18.181818181818176,1.0
Qwen2.5-Math-7B,0.8,15.789473684210531,1.0
Qwen2.5-Math-7B,0.9,11.111111111111105,1.0
Gemma2:9B,0.0,-0.78125,1.0
Gemma2:9B,0.1,-11.627906976744185,1.0
Gemma2:9B,0.2,-13.157894736842108,1.0
Gemma2:9B,0.3,-12.121212121212121,1.0
Gemma2:9B,0.4,-14.814814814814813,1.0
Gemma2:9B,0.5,-12.5,1.0
Gemma2:9B,0.6,-17.39130434782609,1.0
Gemma2:9B,0.7,-13.636363636363638,1.0
Gemma2:9B,0.8,-10.526315789473683,1.0
Gemma2:9B,0.9,-11.11111111111111,1.0
Gemma2:2B,0.0,0.0,1.0
Gemma2:2B,0.1,2.3255813953488373,1.0
Gemma2:2B,0.2,2.631578947368421,1.0
Gemma2:2B,0.3,0.0,1.0
Gemma2:2B,0.4,0.0,1.0
Gemma2:2B,0.5,4.166666666666667,1.0
Gemma2:2B,0.6,4.3478260869565215,1.0
Gemma2:2B,0.7,0.0,1.0
Gemma2:2B,0.8,0.0,1.0
Gemma2:2B,0.9,0.0,1.0
