,0.0_qwen2.5-math-7b,0.0_gemma2-9b,0.0_gemma2-2b,0.1_qwen2.5-math-7b,0.1_gemma2-9b,0.1_gemma2-2b,0.2_qwen2.5-math-7b,0.2_gemma2-9b,0.2_gemma2-2b,0.3_qwen2.5-math-7b,0.3_gemma2-9b,0.3_gemma2-2b,0.4_qwen2.5-math-7b,0.4_gemma2-9b,0.4_gemma2-2b,0.5_qwen2.5-math-7b,0.5_gemma2-9b,0.5_gemma2-2b,0.6_qwen2.5-math-7b,0.6_gemma2-9b,0.6_gemma2-2b,0.7_qwen2.5-math-7b,0.7_gemma2-9b,0.7_gemma2-2b,0.8_qwen2.5-math-7b,0.8_gemma2-9b,0.8_gemma2-2b,0.9_qwen2.5-math-7b,0.9_gemma2-9b,0.9_gemma2-2b
All,0.19999999999998908,0.20000000000000018,1.5999999999999988,0.9950248756218971,0.0,2.985074626865675,0.5847953216374324,0.0,5.263157894736842,0.6622516556291425,0.6622516556291425,4.635761589403975,0.7462686567164201,0.746268656716409,6.716417910447758,0.8264462809917439,2.4793388429752095,6.6115702479338845,0.8695652173912993,3.4782608695652195,6.086956521739129,0.952380952380949,2.857142857142858,7.6190476190476195,2.2471910112359605,2.2471910112359494,5.6179775280898845,2.6666666666666727,2.6666666666666727,6.6666666666666705
5,0.0,2.985074626865669,-1.492537313432836,-2.083333333333337,0.0,-2.083333333333333,-4.444444444444439,0.0,-2.2222222222222228,-5.128205128205132,0.0,0.0,-5.714285714285705,-2.857142857142858,0.0,-6.666666666666665,0.0,0.0,-7.142857142857151,3.57142857142857,0.0,-7.692307692307699,3.8461538461538494,0.0,-5.263157894736836,5.263157894736842,0.0,-7.142857142857151,7.142857142857142,0.0
4,-0.78125,0.78125,3.90625,4.651162790697672,-2.325581395348836,9.302325581395346,5.263157894736836,-2.631578947368424,10.526315789473683,6.060606060606066,0.0,12.12121212121212,7.4074074074074066,0.0,14.814814814814813,8.333333333333337,0.0,12.5,8.695652173913048,0.0,8.695652173913043,9.090909090909093,0.0,13.636363636363638,10.526315789473683,0.0,10.526315789473683,11.111111111111116,0.0,11.11111111111111
3,0.0,-0.952380952380949,0.9523809523809545,0.0,1.9230769230769273,3.8461538461538494,0.0,0.0,9.999999999999998,0.0,0.0,8.108108108108109,0.0,3.0303030303030276,9.090909090909088,0.0,6.451612903225801,9.677419354838706,0.0,6.666666666666665,10.000000000000004,0.0,7.9999999999999964,16.000000000000004,0.0,4.545454545454552,9.090909090909088,0.0,5.263157894736836,10.526315789473683
2,1.1111111111111072,0.0,3.3333333333333326,2.564102564102566,2.564102564102555,5.128205128205127,3.125,0.0,6.25,3.57142857142857,3.57142857142857,3.57142857142857,3.9999999999999925,3.9999999999999925,12.0,4.545454545454552,4.545454545454552,13.63636363636364,4.761904761904756,4.761904761904756,14.285714285714285,5.263157894736848,0.0,10.526315789473683,5.5555555555555465,0.0,11.11111111111111,6.25,0.0,12.5
1,2.3255813953488413,-6.976744186046513,2.3255813953488302,0.0,-5.263157894736836,-5.263157894736836,0.0,6.25,0.0,0.0,0.0,-7.142857142857151,0.0,0.0,-7.142857142857151,0.0,0.0,-7.142857142857151,0.0,0.0,-7.692307692307687,0.0,0.0,-7.692307692307687,0.0,0.0,-9.090909090909093,0.0,0.0,-12.5
