,0.0_qwen2.5-math-7b,0.0_gemma2-9b,0.0_gemma2-2b,0.1_qwen2.5-math-7b,0.1_gemma2-9b,0.1_gemma2-2b,0.2_qwen2.5-math-7b,0.2_gemma2-9b,0.2_gemma2-2b,0.3_qwen2.5-math-7b,0.3_gemma2-9b,0.3_gemma2-2b,0.4_qwen2.5-math-7b,0.4_gemma2-9b,0.4_gemma2-2b,0.5_qwen2.5-math-7b,0.5_gemma2-9b,0.5_gemma2-2b,0.6_qwen2.5-math-7b,0.6_gemma2-9b,0.6_gemma2-2b,0.7_qwen2.5-math-7b,0.7_gemma2-9b,0.7_gemma2-2b,0.8_qwen2.5-math-7b,0.8_gemma2-9b,0.8_gemma2-2b,0.9_qwen2.5-math-7b,0.9_gemma2-9b,0.9_gemma2-2b
All,0.20000000000000018,-0.40000000000000036,-2.400000000000001,2.985074626865669,-3.4825870646766175,-3.4825870646766175,5.847953216374268,-4.093567251461988,-3.508771929824561,6.622516556291391,-1.9867549668874163,-4.635761589403972,5.97014925373135,-0.7462686567164201,-5.970149253731344,5.785123966942152,0.8264462809917328,-4.958677685950414,6.08695652173914,0.0,-6.086956521739132,6.666666666666677,0.0,-7.6190476190476195,4.49438202247191,4.49438202247191,-7.865168539325842,2.6666666666666616,2.666666666666667,-5.333333333333334
5,3.731343283582089,-2.985074626865672,0.7462686567164178,10.416666666666663,-6.25,2.083333333333333,11.111111111111105,-6.666666666666665,2.2222222222222223,12.82051282051282,-7.69230769230769,2.564102564102564,14.28571428571429,-5.7142857142857135,2.857142857142857,13.333333333333341,-6.666666666666668,3.3333333333333335,14.28571428571429,-7.142857142857142,3.571428571428571,15.384615384615385,-7.6923076923076925,3.8461538461538463,10.526315789473683,0.0,5.263157894736842,7.14285714285714,0.0,0.0
4,0.78125,-0.78125,0.0,9.302325581395344,-11.627906976744185,2.3255813953488373,13.157894736842103,-13.157894736842108,2.631578947368421,15.151515151515149,-12.121212121212121,0.0,14.814814814814813,-14.814814814814813,0.0,16.666666666666664,-12.5,4.166666666666667,17.391304347826086,-17.39130434782609,4.3478260869565215,18.181818181818176,-13.636363636363638,0.0,15.789473684210531,-10.526315789473683,0.0,11.111111111111105,-11.11111111111111,0.0
3,-2.857142857142858,0.0,-3.8095238095238084,-1.9230769230769162,-3.8461538461538494,-7.6923076923076925,2.500000000000002,-2.4999999999999964,-10.0,2.7027027027026973,0.0,-10.81081081081081,0.0,0.0,-15.151515151515152,0.0,0.0,-12.903225806451612,0.0,0.0,-13.333333333333336,0.0,-3.9999999999999982,-15.999999999999998,0.0,0.0,-18.18181818181818,0.0,-5.263157894736842,-15.789473684210526
2,-3.3333333333333326,0.0,-1.1111111111111098,-7.692307692307687,2.564102564102566,-2.564102564102566,-6.25,0.0,-3.125,-3.57142857142857,3.57142857142857,-3.57142857142857,-4.0000000000000036,7.9999999999999964,-4.000000000000001,-4.545454545454541,13.636363636363635,-4.545454545454547,-4.761904761904767,14.28571428571428,-4.761904761904762,-5.263157894736836,15.78947368421052,-5.263157894736842,-5.555555555555558,16.666666666666664,-5.555555555555555,-6.25,12.5,6.25
1,2.3255813953488413,6.976744186046513,-18.6046511627907,5.263157894736848,10.526315789473683,-21.052631578947366,6.25,12.5,-18.75,0.0,21.42857142857143,-21.42857142857143,0.0,21.42857142857143,-21.42857142857143,0.0,21.42857142857143,-21.42857142857143,0.0,23.076923076923084,-30.76923076923077,0.0,23.076923076923084,-30.76923076923077,0.0,27.27272727272727,-27.272727272727277,0.0,37.5,-25.0
