model,threshold,line_value,bubble_value
Qwen2.5-Math-7B,0.0,-3.3333333333333326,1.0
Qwen2.5-Math-7B,0.1,-7.692307692307687,1.0
Qwen2.5-Math-7B,0.2,-6.25,1.0
Qwen2.5-Math-7B,0.3,-3.57142857142857,1.0
Qwen2.5-Math-7B,0.4,-4.0000000000000036,1.0
Qwen2.5-Math-7B,0.5,-4.545454545454541,1.0
Qwen2.5-Math-7B,0.6,-4.761904761904767,1.0
Qwen2.5-Math-7B,0.7,-5.263157894736836,1.0
Qwen2.5-Math-7B,0.8,-5.555555555555558,1.0
Qwen2.5-Math-7B,0.9,-6.25,1.0
Gemma2:9B,0.0,0.0,1.0
Gemma2:9B,0.1,2.564102564102566,1.0
Gemma2:9B,0.2,0.0,1.0
Gemma2:9B,0.3,3.57142857142857,1.0
Gemma2:9B,0.4,7.9999999999999964,1.0
Gemma2:9B,0.5,13.636363636363635,1.0
Gemma2:9B,0.6,14.28571428571428,1.0
Gemma2:9B,0.7,15.78947368421052,1.0
Gemma2:9B,0.8,16.666666666666664,1.0
Gemma2:9B,0.9,12.5,1.0
Gemma2:2B,0.0,-1.1111111111111098,1.0
Gemma2:2B,0.1,-2.564102564102566,1.0
Gemma2:2B,0.2,-3.125,1.0
Gemma2:2B,0.3,-3.57142857142857,1.0
Gemma2:2B,0.4,-4.000000000000001,1.0
Gemma2:2B,0.5,-4.545454545454547,1.0
Gemma2:2B,0.6,-4.761904761904762,1.0
Gemma2:2B,0.7,-5.263157894736842,1.0
Gemma2:2B,0.8,-5.555555555555555,1.0
Gemma2:2B,0.9,6.25,1.0
