,0.0_qwen2.5-math-7b,0.0_gemma2-9b,0.0_gemma2-2b,0.1_qwen2.5-math-7b,0.1_gemma2-9b,0.1_gemma2-2b,0.2_qwen2.5-math-7b,0.2_gemma2-9b,0.2_gemma2-2b,0.3_qwen2.5-math-7b,0.3_gemma2-9b,0.3_gemma2-2b,0.4_qwen2.5-math-7b,0.4_gemma2-9b,0.4_gemma2-2b,0.5_qwen2.5-math-7b,0.5_gemma2-9b,0.5_gemma2-2b,0.6_qwen2.5-math-7b,0.6_gemma2-9b,0.6_gemma2-2b,0.7_qwen2.5-math-7b,0.7_gemma2-9b,0.7_gemma2-2b,0.8_qwen2.5-math-7b,0.8_gemma2-9b,0.8_gemma2-2b,0.9_qwen2.5-math-7b,0.9_gemma2-9b,0.9_gemma2-2b
All,-0.1100000000000001,0.020000000000000018,-0.05999999999999961,-0.19000000000000017,0.04999999999999982,-0.13999999999999968,-0.15999999999999992,0.04999999999999982,-0.16000000000000014,-0.17999999999999994,0.04999999999999982,-0.14000000000000057,-0.1399999999999999,0.029999999999999805,-0.1800000000000006,-0.1299999999999999,-0.010000000000000231,-0.17999999999999972,-0.1399999999999999,-0.04999999999999982,-0.16999999999999993,-0.17999999999999994,-0.03000000000000025,-0.17000000000000037,-0.24,0.03000000000000025,-0.09999999999999964,-0.20999999999999996,0.040000000000000036,-0.1299999999999999
5,-0.10000000000000009,-0.08000000000000007,0.040000000000000036,-0.18999999999999995,0.1299999999999999,0.040000000000000036,-0.1399999999999999,0.14000000000000057,0.040000000000000036,-0.1499999999999999,0.16000000000000014,-0.05999999999999961,-0.07999999999999985,0.19999999999999973,-0.0600000000000005,0.0,0.09999999999999964,-0.09999999999999964,-0.040000000000000036,0.0,-0.09999999999999964,-0.1200000000000001,0.0,-0.11000000000000032,-0.20999999999999996,0.14999999999999947,0.0,0.0,0.20999999999999996,0.0
4,-0.19999999999999973,0.040000000000000036,-0.07000000000000028,-0.49,0.11000000000000032,-0.16000000000000014,-0.5,0.2400000000000002,-0.16000000000000014,-0.55,0.17999999999999972,-0.15000000000000036,-0.5900000000000001,0.2200000000000002,-0.2599999999999998,-0.6699999999999999,0.25,-0.16000000000000014,-0.69,0.2599999999999998,-0.08000000000000007,-0.73,0.22999999999999998,-0.14000000000000057,-0.8399999999999999,0.06000000000000005,0.04999999999999982,-0.8299999999999998,0.06000000000000005,0.04999999999999982
3,-0.10000000000000009,0.1299999999999999,-0.04999999999999982,-0.1499999999999999,0.04999999999999982,-0.20999999999999996,-0.08000000000000007,0.020000000000000018,-0.3700000000000001,-0.08000000000000007,0.0,-0.2999999999999998,0.030000000000000027,-0.06000000000000005,-0.33000000000000007,0.030000000000000027,-0.10000000000000009,-0.35999999999999943,0.040000000000000036,-0.16000000000000014,-0.3700000000000001,0.040000000000000036,-0.20000000000000018,-0.48,0.0,0.0,-0.4500000000000002,0.0,0.050000000000000266,-0.41999999999999993
2,-0.020000000000000018,-0.07999999999999963,-0.1499999999999999,0.0,-0.1499999999999999,-0.3900000000000001,0.0,-0.07000000000000028,-0.28000000000000025,0.0,-0.10999999999999988,-0.25,0.0,-0.19999999999999996,-0.3600000000000003,0.0,-0.2300000000000002,-0.4100000000000006,0.0,-0.23999999999999977,-0.4300000000000006,0.0,-0.06000000000000005,-0.27000000000000046,0.0,0.0,-0.2799999999999998,0.0,0.0,-0.3100000000000005
1,-0.050000000000000044,0.28,-0.16999999999999993,0.06000000000000005,0.09999999999999987,0.16000000000000014,0.06000000000000005,-0.3700000000000001,0.06000000000000005,-0.07000000000000006,-0.15000000000000013,0.3599999999999999,-0.07000000000000006,-0.15000000000000013,0.3599999999999999,-0.07000000000000006,-0.15000000000000013,0.3599999999999999,-0.08000000000000007,-0.16000000000000014,0.3900000000000001,-0.08000000000000007,-0.16000000000000014,0.3900000000000001,-0.09000000000000008,-0.18000000000000016,0.45999999999999996,-0.1200000000000001,-0.25,0.2400000000000002
