model,threshold,line_value,bubble_value
Qwen2.5-Math-7B,0.0,0.0,1.0595238095238095
Qwen2.5-Math-7B,0.1,0.0,1.0867052023121386
Qwen2.5-Math-7B,0.2,0.0,1.0451977401129944
Qwen2.5-Math-7B,0.3,0.0,1.046242774566474
Qwen2.5-Math-7B,0.4,0.0,0.9823529411764705
Qwen2.5-Math-7B,0.5,0.0,0.9827586206896551
Qwen2.5-Math-7B,0.6,0.0,0.9774011299435028
Qwen2.5-Math-7B,0.7,0.0,0.9772727272727273
Qwen2.5-Math-7B,0.8,0.0,1.0
Qwen2.5-Math-7B,0.9,0.0,1.0
Gemma2:9B,0.0,-0.952380952380949,0.9516728624535317
Gemma2:9B,0.1,1.9230769230769273,0.9812734082397004
Gemma2:9B,0.2,0.0,0.9927797833935018
Gemma2:9B,0.3,0.0,1.0
Gemma2:9B,0.4,3.0303030303030276,1.0227272727272727
Gemma2:9B,0.5,6.451612903225801,1.0383141762452108
Gemma2:9B,0.6,6.666666666666665,1.0622568093385214
Gemma2:9B,0.7,7.9999999999999964,1.0847457627118644
Gemma2:9B,0.8,4.545454545454552,1.0
Gemma2:9B,0.9,5.263157894736836,0.9789029535864978
Gemma2:2B,0.0,0.9523809523809545,1.0122549019607843
Gemma2:2B,0.1,3.8461538461538494,1.056
Gemma2:2B,0.2,9.999999999999998,1.0986666666666667
Gemma2:2B,0.3,8.108108108108109,1.078125
Gemma2:2B,0.4,9.090909090909088,1.0891891891891892
Gemma2:2B,0.5,9.677419354838706,1.0962566844919786
Gemma2:2B,0.6,10.000000000000004,1.1
Gemma2:2B,0.7,16.000000000000004,1.1395348837209303
Gemma2:2B,0.8,9.090909090909088,1.135542168674699
Gemma2:2B,0.9,10.526315789473683,1.1246290801186944
